User_ID,Food_ID,Review,timestamp
1,24,5,964982703
1,25,4,964981247
1,46,3,964982224
1,88,4,964983815
2,33,8,964982931
2,49,1,964982400
2,71,8,964980868
2,106,9,964982176
3,46,2,964984041
3,65,3,964984100
3,73,9,964983650
3,110,10,964981208
3,168,1,964980985
3,201,8,964981179
3,209,6,964980908
3,292,8,964981680
3,299,1,964982967
4,14,5,964982310
4,21,1,964981179
4,128,6,964982563
4,141,5,964980962
4,170,1,964982588
4,212,10,964981710
5,8,6,964982363
5,27,6,964980868
5,52,9,964981909
5,64,2,964982346
5,198,10,964981208
5,241,9,964984002
6,22,5,964981179
6,185,7,964982653
6,207,2,964984153
6,213,6,964982546
7,21,9,964982271
7,31,10,964983793
7,109,10,964982838
7,116,8,964982931
7,131,5,964982563
7,220,3,964982838
8,101,8,964981775
8,128,4,964982400
8,138,9,964982653
8,140,4,964984086
8,163,5,964980499
8,201,3,964982475
8,224,9,964981529
8,242,3,964982176
9,2,3,964983614
9,15,1,964983219
9,60,5,964981775
9,91,5,964982681
9,180,2,964982876
9,182,4,964982791
9,184,6,964982855
9,244,3,964982903
10,44,10,964982653
10,70,5,964982791
10,100,4,964981179
10,227,2,964982400
10,250,2,964980924
11,35,4,964981680
11,48,5,964981327
11,154,3,964982951
11,200,10,964984018
11,258,10,964983484
11,274,2,964981680
13,38,4,964982513
13,74,8,964981327
13,127,10,964981827
13,169,4,964981872
14,17,3,964981827
14,51,9,964983737
14,87,8,964983250
14,134,7,964980499
14,267,5,964982951
14,272,1,964981855
15,29,7,964983393
15,29,9,964981909
15,43,3,964981909
15,116,6,964984018
15,130,5,964983618
15,149,1,964983723
15,214,7,964981442
15,238,6,964983414
16,10,4,964983599
16,243,3,964983705
16,270,3,964982290
16,282,10,964983414
16,291,1,964982703
17,7,4,964981909
17,8,5,964984086
17,23,4,964983393
17,58,7,964982653
17,114,1,964983017
17,251,5,964982310
17,278,8,964984112
18,17,6,964980875
18,18,5,964980985
18,31,7,964981107
18,37,2,964982620
18,133,8,964982290
18,153,7,964981125
19,9,9,964982346
19,11,4,964982951
19,84,10,964983056
19,211,1,964983504
19,249,10,964983536
20,46,6,964982620
20,261,8,964981125
21,13,9,964981230
21,42,9,964981404
21,126,1,964983034
21,185,2,964983056
21,230,3,964981780
21,280,5,964981497
22,2,5,964982176
22,53,3,964981710
22,127,6,964982211
22,165,2,964981710
22,275,4,964984176
23,26,6,964980523
23,223,5,964981888
24,23,2,964982903
24,51,5,964982563
24,193,8,964982791
25,55,5,964981747
25,57,10,964982400
25,63,9,964982838
25,178,3,964982838
25,287,3,964981710
26,15,9,964982653
26,45,5,964982838
26,55,5,964982588
26,104,6,964981725
27,54,1,964982529
27,86,4,964982876
27,161,2,964982791
27,207,4,964982791
27,213,3,964982838
27,273,10,964981725
27,279,9,964981710
28,5,10,964981680
28,50,10,964981710
28,54,7,964981775
28,162,9,964982989
29,34,5,964982310
29,200,9,964983664
29,281,1,964983263
29,300,9,964983546
30,53,6,964983861
30,304,1,964982462
31,74,5,964983123
31,80,1,964983094
31,129,5,964981093
31,150,9,964982310
31,188,10,964982513
31,230,8,964982242
31,232,8,964982620
31,240,3,964983414
31,264,6,964982588
31,285,9,964984169
32,32,4,965719662
32,39,7,964981278
32,71,1,964982328
32,91,2,964982242
32,94,10,964981265
32,127,9,964981888
32,143,1,964983000
32,244,8,964981144
32,263,1,964983080
32,290,7,964982588
32,309,5,964980523
